,driverID,race,qualipos,racepos
1913,bottas,6,13,3
1914,button,6,12,5
1917,grosjean,6,14,13
1918,gutierrez,6,17,15
1919,hamilton,6,2,1
1920,hulkenberg,6,11,6
1922,kevin_magnussen,6,8,11
1923,kobayashi,6,21,18
1924,kvyat,6,9,20
1925,maldonado,6,15,19
1926,massa,6,16,2
1927,perez,6,10,7
1928,raikkonen,6,6,10
1929,ricciardo,6,3,4
1930,rosberg,6,1,14
1931,sutil,6,18,16
1932,vergne,6,7,12
1933,vettel,6,4,8
1934,alonso,7,7,9
1935,bottas,7,4,3
1936,button,7,9,5
1939,grosjean,7,14,13
1940,gutierrez,7,22,15
1941,hamilton,7,2,1
1942,hulkenberg,7,11,6
1944,kevin_magnussen,7,12,11
1945,kobayashi,7,20,18
1946,kvyat,7,15,20
1947,maldonado,7,17,19
1948,massa,7,5,2
1949,perez,7,13,7
1950,raikkonen,7,10,10
1951,ricciardo,7,6,4
1952,rosberg,7,1,14
1953,sutil,7,16,16
1954,vergne,7,8,12
1955,vettel,7,3,8
1956,alonso,8,4,9
1957,bottas,8,2,3
1958,button,8,12,5
1961,grosjean,8,16,13
1962,gutierrez,8,18,15
1963,hamilton,8,9,1
1964,hulkenberg,8,10,6
1966,kevin_magnussen,8,6,11
1967,kobayashi,8,20,18
1968,kvyat,8,7,20
1969,maldonado,8,14,19
1970,massa,8,1,2
1971,perez,8,11,7
1972,raikkonen,8,8,10
1973,ricciardo,8,5,4
1974,rosberg,8,3,14
1975,sutil,8,17,16
1976,vergne,8,15,12
1977,vettel,8,13,8
1978,alonso,9,19,9
1979,bottas,9,17,3
1980,button,9,3,5
1983,grosjean,9,11,13
1984,gutierrez,9,14,15
1985,hamilton,9,6,1
1986,hulkenberg,9,4,6
1988,kevin_magnussen,9,5,11
1989,kobayashi,9,22,18
1990,kvyat,9,9,20
1991,maldonado,9,15,19
1992,massa,9,18,2
1993,perez,9,7,7
1994,raikkonen,9,20,10
1995,ricciardo,9,8,4
1996,rosberg,9,1,14
1997,sutil,9,16,16
1998,vergne,9,10,12
1999,vettel,9,2,8
2000,alonso,10,7,9
2001,bottas,10,2,3
2002,button,10,11,5
2005,grosjean,10,15,13
2006,gutierrez,10,14,15
